Код в 1С, ,Толщина,Наименование,Размер листа,Упаковка,,,Цена,,,,Просчет,,,,Объем,,,,
,кг/м³,мм,-,мм,плит,м² ,м³,руб/упак,руб/лист,руб/м²,,Кв.м.,Кол-во уп,Сумма,,Листов,Итого м³,,,
НФ-00000251,"22,25",50,"Технониколь 34 PN СТЕНЫ И КРЫШИ 50мм / 1000х610 / 0,61м2 (8 ПЛИТ / 4.88 м2 / 0.244 м3) 22,25 плотность",610х1000,8,"4,88","0,244",740 ₽,93 ₽,152 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000252,"22,25",100,"Технониколь 34 PN СТЕНЫ И КРЫШИ 100мм / 1000х610 / 0,61м2 (4 ПЛИТЫ / 2,44 м2 / 0.244 м3) 22,25 плотность",610х1000,4,"2,44","0,244",740 ₽,185 ₽,303 ₽,,0,"0,00",0 ₽,,0,0,,,0
,,,,,,,,,#DIV/0!,#DIV/0!,,0,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,,#DIV/0!
,Пленка,,,,,,,,,,,,,,,,,,,
НФ-00000142,,,"Пароизоляционная пленка Isobox B 1,6х43,75 (70м2)",1600х43750,,70,,1 800 ₽,,26 ₽,,0,"0,00",0 ₽,,,,,,0
НФ-00000434,,,"Гидро- пароизоляционная пленка Isobox D 1,6х43,75 (70м2)",1600х43750,,70,,2 200 ₽,,31 ₽,,0,"0,00",0 ₽,,,,,,0
НФ-00000432,,,"Ветро-влагозащитная пленка Isobox A 1,6х43,75 (70м2)",1600х43750,,70,,2 660 ₽,,38 ₽,,0,"0,00",0 ₽,,,,,,0
00-00000680,,,"Гидро-пароизоляционная пленка универсальная высокой прочности D Kolotek 1,5*46,66 м (70 м2)",,,70,,1 420 ₽,,20 ₽,,0,"0,00",0 ₽,,,,,,0
00-00000679,,,"Пароизоляционная пленка B Kolotek 1,6х43,75 м (70м2)",,,70,,960 ₽,,14 ₽,,0,"0,00",0 ₽,,,,,,0
,,,,,,,,,,#DIV/0!,,0,#DIV/0!,#DIV/0!,,,,,,#DIV/0!
,Сетка Стеклотканевая,,,,,,,,,,,,,,,,,,,
00-00000229,160 гр/м2,,"Сетка стеклотканевая фасадная POLINET 5*5мм, 1*50м, 160 гр/м2",1000х50000,,50,,2 463 ₽,,49 ₽,,0,"0,00",0 ₽,,,,,,0
